year,movie_title
2004,Veer Zaara
2004,Main Hoon Na
2004,Mujhse Shaadi Karogi
2004,Dhoom
2004,Khakee
2005,No Entry
2005,Bunty Aur Babli
2005,Saalam Namaste
2005,Garam Masala
2005,Mangal Pandey - The Rising
2006,Dhoom 2
2006,Krrish
2006,Lage Raho Munnabhai
2006,Kabhi Alvida Na Kehna
2006,Don - The Chase Begins Again
2007,Om Shanti Om
2007,Welcome
2007,Chak de India
2007,Partner
2007,Taare Zameen Par
2008,Ghajini
2008,Rab Ne Bana Di Jodi
2008,Singh is Kinng
2008,Jodhaa Akbar
2008,Race
2009,3 Idiots
2009,Love Aaj Kal
2009,Ajab Prem Ki Ghazab Kahani
2009,Wanted
2009,Kambakkht Ishq
2010,Dabangg
2010,My Name is Khan
2010,Golmaal 3
2010,Raajneeti
2010,Housefull
2011,Bodyguard
2011,Ra.One
2011,Don 2
2011,Ready
2011,Zindagi Na Milegi Dobara
2012,Ek Tha Tiger
2012,Dabangg 2
2012,Jab Tak Hai Jaan
2012,Rowdy Rathore
2012,Agneepath
2013,Dhoom 3
2013,Chennai Express
2013,Yeh Jawaani Hai Deewani
2013,Krrish 3
2013,Goliyon Ki Raasleela Ram - Leela
2014,PK
2014,Kick
2014,Happy New Year
2014,Bang Bang
2014,Singham Returns
2015,Bajrangi Bhaijaan
2015,Dilwale
2015,Prem Ratan Dhan Payo
2015,Bajirao Mastani
2015,Tanu Weds Manu Returns
2016,Dangal
2016,Sultan
2016,Ae Dil Hai Mushkil
2016,Rustom
2016,Airlift
2017,Tiger Zinda Hai
2017,Golmaal Again
2017,Raees
2017,Tubelight
2017,Judwaa 2
2018,Sanju
2018,Padmaavat
2018,Simmba
2018,Race 3
2018,2.0
2019,War
2019,Kabir Singh
2019,Uri - The Surgical Strike
2019,Bharat
2019,Good Newwz
2020,Tanhaji - The Unsung Warrior
2020,Baaghi 3
2020,Street Dancer 3D
2020,Malang
2020,Shubh Mangal Zyada Saavdhan
2021,Sooryavanshi
2021,83
2021,Antim - The Final Truth
2021,Bell Bottom
2021,Tadap
2022,Brahmastra - Part One - Shiva
2022,Bhool Bhulaiyaa 2
2022,The Kashmir Files
2022,Gangubai Kathiawadi
2022,Laal Singh Chaddha
2023,Jawan
2023,Animal
2023,Pathaan
2023,Gadar 2
2023,Tiger 3
